"truck_id","truck_name","home_terminal","total_miles_per_truck","total_revenue_per_truck","revenue_per_mile"
"TRK00096","2018 / Kenworth - 2337","Oklahoma City",1221247.00,2613332.33,2.14
"TRK00059","2015 / Mack - 8218","Dallas",1216720.00,2595479.77,2.13
"TRK00060","2015 / Freightliner - 8564","Kansas City",1211398.00,2596807.61,2.14
"TRK00036","2020 / Peterbilt - 1618","Los Angeles",1205829.00,2581289.59,2.14
"TRK00108","2015 / Volvo - 3273","Seattle",1199508.00,2570997.66,2.14
"TRK00079","2015 / Mack - 5469","New York",1195812.00,2532045.68,2.12
"TRK00018","2015 / International - 6928","Dallas",1194175.00,2603015.69,2.18
"TRK00040","2015 / International - 3527","Minneapolis",1178515.00,2553800.68,2.17
"TRK00109","2015 / Volvo - 8685","Kansas City",NULL,NULL,NULL
"TRK00104","2018 / Peterbilt - 3254","New York",NULL,NULL,NULL
"TRK00117","2015 / Peterbilt - 9991","New York",NULL,NULL,NULL
"TRK00022","2017 / Kenworth - 3953","Houston",NULL,NULL,NULL
"TRK00042","2019 / International - 3962","Omaha",NULL,NULL,NULL
"TRK00081","2018 / Freightliner - 9410","Detroit",NULL,NULL,NULL
"TRK00075","2015 / Mack - 3042","Phoenix",NULL,NULL,NULL
"TRK00032","2015 / Mack - 2657","Oklahoma City",NULL,NULL,NULL
"TRK00034","2015 / Freightliner - 9843","Seattle",NULL,NULL,NULL
"TRK00118","2015 / Freightliner - 9647","Detroit",NULL,NULL,NULL
"TRK00046","2015 / Freightliner - 7731","Dallas",NULL,NULL,NULL
"TRK00017","2017 / Mack - 9331","Portland",NULL,NULL,NULL
"TRK00102","2015 / Peterbilt - 6493","Minneapolis",NULL,NULL,NULL
"TRK00003","2018 / Peterbilt - 2335","Atlanta",NULL,NULL,NULL
"TRK00028","2015 / Kenworth - 3253","Portland",NULL,NULL,NULL
"TRK00021","2018 / Mack - 6060","Detroit",NULL,NULL,NULL
"TRK00037","2018 / Freightliner - 6517","Dallas",NULL,NULL,NULL
"TRK00056","2015 / Kenworth - 8684","Dallas",NULL,NULL,NULL
"TRK00005","2016 / Freightliner - 6731","Miami",NULL,NULL,NULL
"TRK00027","2015 / Peterbilt - 4711","New York",NULL,NULL,NULL
"TRK00094","2015 / Freightliner - 4862","Miami",NULL,NULL,NULL
"TRK00119","2015 / Mack - 7934","Seattle",NULL,NULL,NULL
"TRK00077","2015 / Kenworth - 2374","Portland",NULL,NULL,NULL
"TRK00100","2015 / Mack - 6221","Kansas City",NULL,NULL,NULL
"TRK00087","2015 / Peterbilt - 6727","Las Vegas",NULL,NULL,NULL
"TRK00066","2015 / Peterbilt - 3655","Las Vegas",NULL,NULL,NULL
"TRK00047","2015 / Mack - 6968","Phoenix",NULL,NULL,NULL
"TRK00088","2015 / Peterbilt - 1436","Miami",NULL,NULL,NULL
